Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Coventry East,Lab hold,Lab,RUK,75773,37014,144,11623,6240,18308,1227,6685,2730,0,,
Coventry North West,Lab hold,Lab,Con,75036,42030,180,11174,8522,19696,1931,7950,3420,0,,
Coventry South,Lab hold,Lab,Con,76232,42731,159,10201,10160,20361,2531,5711,2363,0,,
Cowdenbeath and Kirkcaldy,Lab gain from SNP,Lab,SNP,71845,40814,106,7248,3203,18662,1593,3128,1556,11414,,
Cramlington and Killingworth,Lab hold,Lab,RUK,76228,45394,128,12820,8592,22274,1898,9454,2144,0,,
Crawley,Lab gain from Con,Lab,Con,75569,45642,190,5235,12218,17453,2205,8447,2621,0,,
Crewe and Nantwich,Lab gain from Con,Lab,Con,78423,47197,140,9727,11110,20837,2286,9602,2151,0,,
Croydon East,Lab hold,Lab,Con,76595,43779,174,6825,11716,18541,3563,5862,4097,0,,
Croydon South,Con hold,Con,Lab,74889,49378,159,2313,19757,17444,4384,4149,2859,0,,
Croydon West,Lab hold,Lab,Con,77891,38122,172,14226,6386,20612,3667,2148,3851,0,,
Cumbernauld and Kirkintilloch,Lab gain from SNP,Lab,SNP,70350,40976,170,4144,1939,18513,1294,3167,1694,14369,,
Dagenham and Rainham,Lab hold,Lab,RUK,76475,38867,118,7173,6926,16571,1033,9398,4184,0,,
Darlington,Lab gain from Con,Lab,Con,70672,42378,121,2298,14323,16621,1735,6852,2847,0,,
Dartford,Lab gain from Con,Lab,Con,75426,44488,272,1192,14200,15392,2184,9523,3189,0,,
Daventry,Con hold,Con,Lab,80879,53082,216,3012,17872,14860,6755,10636,2959,0,,
Derby North,Lab gain from Con,Lab,Con,71879,40919,187,8915,9704,18619,1822,7488,3286,0,,
Derby South,Lab hold,Lab,RUK,72944,37399,145,6002,5192,14503,1807,8501,1899,0,,
Derbyshire Dales,Lab gain from Con,Lab,Con,73324,51272,173,350,17409,17759,4860,7728,2830,0,,
Dewsbury and Batley,Ind gain from Lab,Ind,Lab,71685,38070,131,6934,4182,8707,1340,6152,2048,0,,
Didcot and Wantage,LD gain from Con,LD,Con,80689,54733,215,6233,15560,8045,21793,6400,2693,0,,
Doncaster Central,Lab hold,Lab,Con,74678,37944,113,9551,7964,17515,1199,7886,1880,0,,
Doncaster East and the Isle of Axholme,Lab gain from Con,Lab,Con,70154,39132,134,2311,12811,15122,1166,8487,1400,0,,
Doncaster North,Lab hold,Lab,Con,69759,31002,475,9126,7105,16231,1045,0,1778,0,,
Dorking and Horley,LD gain from Con,LD,Con,71645,49965,168,5391,15530,4053,20921,6898,2563,0,,
Dover and Deal,Lab gain from Con,Lab,RUK,76406,47775,185,7585,10370,18940,2595,11355,3106,0,,
Droitwich and Evesham,Con hold,Con,Lab,76624,49609,177,8995,19975,10980,5131,9456,3828,0,,
Dudley,Lab gain from Con,Lab,Con,70151,35796,110,1900,10315,12215,1056,9442,1154,0,,
Dulwich and West Norwood,Lab hold,Lab,Green,79894,45378,227,18789,3873,27356,3485,1801,8567,0,,
Dumfries and Galloway,Con hold,Con,SNP,78541,45775,162,930,13527,11767,2092,4313,1249,12597,,
"Dumfriesshire, Clydesdale and Tweeddale",Con hold,Con,SNP,71900,44214,133,4242,14999,10140,2800,3822,1488,10757,,
Dundee Central,SNP hold,SNP,Lab,74221,38848,153,675,1569,14869,2402,2363,0,15544,,
Dunfermline and Dollar,Lab gain from SNP,Lab,SNP,72824,44537,140,8241,3297,20336,3181,2887,2078,12095,,
Dunstable and Leighton Buzzard,Lab gain from Con,Lab,Con,76742,46045,171,667,14309,14976,6497,8071,2115,0,,
Dwyfor Meirionnydd,PC hold,PC,Lab,73040,40395,215,15876,4712,5912,1381,4857,1448,0,,
Ealing Central and Acton,Lab hold,Lab,Con,78436,47769,254,13995,8345,22340,6056,3105,5444,0,,
Ealing North,Lab hold,Lab,Con,74820,43232,198,12519,8144,20663,2543,3948,4056,0,,
Ealing Southall,Lab hold,Lab,Con,78669,46816,214,15793,7207,23000,2832,2585,4356,0,,
Earley and Woodley,Lab gain from Con,Lab,Con,73548,45914,572,848,17361,18209,6142,0,3418,0,,
Easington,Lab hold,Lab,RUK,69395,34324,72,6542,3753,16774,811,10232,1173,0,,
East Antrim,DUP hold,DUP,APNI,73302,39675,142,1306,0,0,0,0,568,0,,
East Grinstead and Uckfield,Con hold,Con,LD,75385,50393,471,8480,19319,10440,10839,0,5277,0,,
East Ham,Lab hold,Lab,Ind,79219,37892,173,12863,3876,19570,1210,1340,4226,0,,
East Hampshire,Con hold,Con,LD,70659,50006,157,1275,18509,4867,17234,6476,2404,0,,
East Kilbride and Strathaven,Lab gain from SNP,Lab,SNP,76414,46707,131,9057,3547,22682,1074,3377,1811,13625,,
East Londonderry,DUP hold,DUP,SF,75707,41277,158,179,187,0,0,0,445,0,,
East Renfrewshire,Lab gain from SNP,Lab,SNP,74626,50227,141,8421,8494,21935,1150,2360,1510,13514,,
East Surrey,Con hold,Con,Lab,73307,49196,208,7450,17502,10052,8833,8380,2957,0,,
East Thanet,Lab gain from Con,Lab,Con,74927,42713,167,6971,10083,17054,1365,8591,4590,0,,
East Wiltshire,Con hold,Con,Lab,74139,47193,167,4716,16849,12133,8204,7885,1844,0,,
East Worthing and Shoreham,Lab gain from Con,Lab,Con,74738,49078,181,9519,12601,22120,3180,7169,3246,0,,
Eastbourne,LD gain from Con,LD,Con,72590,45605,159,12204,11538,2689,23742,6061,1421,0,,
Eastleigh,LD gain from Con,LD,Con,69965,46420,130,1546,14424,7005,15970,6151,2403,0,,
Edinburgh East and Musselburgh,Lab gain from SNP,Lab,SNP,76188,45575,206,3715,2598,18790,1949,2129,4669,15075,,
Edinburgh North and Leith,Lab gain from SNP,Lab,SNP,78411,49475,173,7268,3254,20805,3879,1818,5417,13537,,
Edinburgh South,Lab hold,Lab,SNP,70838,46826,125,17251,4001,24976,2746,1845,4270,7725,,
Edinburgh South West,Lab gain from SNP,Lab,SNP,73784,45664,147,6217,5558,18663,3014,2087,3450,12446,,
Edinburgh West,LD hold,LD,SNP,76490,52471,137,16470,2897,7854,26645,2209,2100,10175,,
Edmonton and Winchmore Hill,Lab hold,Lab,Con,75792,41045,204,12632,7888,20520,2721,3501,3681,0,,
Ellesmere Port and Bromborough,Lab hold,Lab,RUK,70799,41964,153,16908,5210,24186,2328,7278,2706,0,,
Eltham and Chislehurst,Lab gain from Con,Lab,Con,73979,45566,192,8429,11640,20069,2423,7428,3079,0,,
Ely and East Cambridgeshire,LD gain from Con,LD,Con,79112,52369,155,495,16632,9160,17127,6443,2359,0,,
Enfield North,Lab hold,Lab,Con,78770,43492,159,12736,8632,21368,2517,5146,3713,0,,
Epping Forest,Con hold,Con,Lab,72229,41753,793,5682,18038,12356,5268,0,2486,0,,
Epsom and Ewell,LD gain from Con,LD,Con,76513,54525,172,3686,16988,8325,20674,5795,1745,0,,
Erewash,Lab gain from Con,Lab,Con,71501,43006,175,5859,11365,17224,2426,9162,2478,0,,
Erith and Thamesmead,Lab hold,Lab,RUK,78740,40379,157,16302,5564,22246,1872,5944,3482,0,,
Esher and Walton,LD gain from Con,LD,Con,74042,53880,157,12003,16312,2846,28315,4777,1396,0,,
Exeter,Lab hold,Lab,Con,67840,40195,180,11937,6288,18225,4201,4914,5907,0,,
Exmouth and Exeter East,Con hold,Con,Lab,79983,51316,151,121,14728,14607,11387,7085,2331,0,,
Falkirk,Lab gain from SNP,Lab,SNP,73584,42625,131,4996,3576,18343,1092,3375,1711,13347,,
Fareham and Waterlooville,Con hold,Con,Lab,76947,50123,168,6079,17561,11482,9533,9084,2036,0,,
Farnham and Bordon,Con hold,Con,LD,75920,53015,197,1349,18951,7328,17602,6217,2496,0,,
Faversham and Mid Kent,Con hold,Con,Lab,74301,46594,172,1469,14816,13347,4158,9884,4218,0,,
Feltham and Heston,Lab hold,Lab,Con,76982,38887,165,7944,8195,16139,1821,5130,2543,0,,
Fermanagh and South Tyrone,SF hold,SF,UUP,77828,51076,260,4571,0,0,0,0,0,0,,
